profile_id,age_numeric,income,education_numeric,job_sector_numeric,risk_tolerance,investment_goal_numeric,investment_horizon,liquidity_needs,interest_rate,inflation_rate,gdp_growth_rate,unemployment_rate
1,3,51640,1,0,0.42,0,13,0.23,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
2,3,96926,2,1,0.52,0,16,0.35,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
3,1,602945,2,1,0.48,0,33,0.15,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
4,3,73701,2,0,0.3,0,11,0.34,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
5,3,142639,2,0,0.45,3,15,0.34,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
6,3,971591,3,4,0.54,0,16,0.22,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
7,2,579964,3,6,0.54,0,23,0.15,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
8,3,204701,4,0,0.43,3,14,0.51,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
9,2,27082,2,3,0.29,4,13,0.55,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
10,1,21003,0,2,0.59,0,29,0.68,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
11,5,12252,1,6,0.38,0,4,0.29,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
12,3,24923,0,5,0.37,4,27,0.71,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
13,5,76149,2,3,0.31,0,3,0.43,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
14,4,2326,0,1,0.12,2,10,0.42,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
15,3,848783,2,1,0.41,3,21,0.26,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
16,3,94130,2,0,0.7,0,13,0.41,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
17,0,15159,2,5,0.73,0,35,0.61,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
18,4,32005,3,1,0.14,4,12,0.27,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
19,3,86423,2,1,0.47,1,14,0.33,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
20,5,26864,0,1,0.34,0,6,0.47,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
21,3,21540,1,8,0.1,0,12,0.56,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
22,4,49638,0,4,0.33,2,7,0.3,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
23,1,8004,0,7,0.58,4,30,0.52,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
24,1,93476,3,1,0.39,0,28,0.73,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
25,4,33229,3,0,0.32,0,15,0.4,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
26,0,57332,3,8,0.63,2,9,0.26,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
27,4,110459,2,0,0.54,2,6,0.46,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
28,3,128337,0,1,0.18,3,17,0.1,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
29,3,542684,3,2,0.58,0,12,0.11,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
30,1,41759,3,1,0.29,2,6,0.41,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
31,3,71640,2,0,0.61,3,20,0.36,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
32,4,13777,0,6,0.11,1,9,0.4,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
33,2,92907,2,5,0.47,4,15,0.46,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
34,2,90584,3,6,0.52,0,15,0.27,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
35,3,119092,4,2,0.53,1,15,0.44,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
36,3,235780,3,6,0.32,2,8,0.45,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
37,2,42953,1,7,0.37,3,18,0.59,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
38,2,67997,2,1,0.1,0,18,0.36,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
39,2,13594,1,5,0.28,4,28,0.73,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
40,1,36527,1,7,0.66,3,29,0.65,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
41,0,15913,0,5,0.47,2,3,0.76,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
42,3,55502,0,3,0.2,0,15,0.51,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
43,2,210511,1,0,0.35,3,30,0.1,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
44,1,65634,2,4,0.26,3,15,0.65,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
45,0,10192,0,4,0.41,0,38,0.73,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
46,5,18544,0,5,0.18,1,18,0.5,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
47,3,40065,2,5,0.55,3,27,0.58,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
48,2,170359,2,7,0.37,3,28,0.4,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
49,0,10650,0,6,0.16,3,18,0.53,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
50,4,7908,0,6,0.44,2,4,0.41,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
51,3,21756,0,5,0.27,1,9,0.44,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
52,1,70680,2,6,0.4,2,7,0.32,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
53,2,48201,1,9,0.47,0,16,0.68,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
54,2,39434,4,1,0.24,2,5,0.24,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
55,1,33133,2,4,0.58,2,10,0.32,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
56,3,43633,2,5,0.17,0,18,0.42,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
57,1,7585,0,8,0.31,0,34,0.46,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
58,4,67409,0,1,0.14,2,10,0.1,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
59,2,67842,2,0,0.24,1,5,0.6,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
60,4,954939,3,3,0.22,1,7,0.53,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
61,3,123919,2,1,0.3,1,9,0.42,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
62,3,109620,2,1,0.62,2,10,0.32,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
63,2,49788,2,0,0.37,0,16,0.72,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
64,3,25449,0,9,0.56,0,17,0.61,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
65,4,77230,4,1,0.39,4,13,0.47,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
66,1,13596,1,4,0.67,3,14,0.47,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
67,2,49998,2,2,0.17,2,9,0.73,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
68,3,46748,2,1,0.57,0,11,0.46,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
69,4,76869,4,0,0.47,2,4,0.55,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
70,4,48551,2,3,0.38,3,9,0.43,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
71,2,56587,2,8,0.37,0,21,0.48,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
72,4,2587,0,5,0.3,0,9,0.47,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
73,5,221964,3,0,0.31,2,9,0.44,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
74,4,37606,0,2,0.27,3,5,0.32,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
75,5,98803,3,5,0.41,3,8,0.49,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
76,3,97247,2,0,0.13,0,10,0.48,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
77,1,9670,0,3,0.38,0,29,0.67,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
78,3,130192,1,3,0.19,3,22,0.18,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
79,0,17582,0,6,0.4,2,4,0.59,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
80,2,86793,2,4,0.52,3,30,0.37,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
81,5,569150,1,0,0.34,1,11,0.38,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
82,4,125958,3,7,0.2,0,8,0.45,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
83,1,2504388,2,7,0.42,2,3,0.35,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
84,0,18500,2,5,0.64,0,44,0.39,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
85,0,5717,2,1,0.35,2,5,0.43,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
86,3,28725,2,6,0.39,2,3,0.51,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
87,0,52042,2,3,0.65,4,12,0.55,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
88,1,4135,1,5,0.47,2,4,0.76,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
89,3,156368,4,1,0.58,3,20,0.29,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
90,3,30002,2,0,0.2,3,21,0.63,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
91,3,86805,2,3,0.17,0,19,0.35,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
92,3,30071,1,0,0.52,3,28,0.33,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
93,3,90746,2,0,0.33,3,19,0.57,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
94,3,4694,0,1,0.39,3,16,0.44,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
95,4,10211,1,5,0.1,3,9,0.47,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
96,1,77144,2,0,0.48,3,25,0.41,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
97,0,19638,0,8,0.79,0,35,0.5,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
98,4,17451,1,7,0.53,2,9,0.41,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
99,4,430223,3,4,0.51,2,4,0.26,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
100,3,35914,0,4,0.38,3,21,0.77,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
101,1,161937,2,0,0.58,2,10,0.75,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
102,2,90929,4,2,0.44,2,3,0.36,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
103,0,26233,3,0,0.61,2,3,0.38,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
104,3,71072,2,9,0.34,3,12,0.4,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
105,5,14344,1,5,0.1,1,15,0.62,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
106,2,54320,2,2,0.31,3,14,0.79,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
107,3,37344,1,0,0.38,1,10,0.67,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
108,0,4507,0,6,0.5,3,26,0.32,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
109,3,134354,2,0,0.55,4,24,0.17,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
110,3,79112,2,6,0.31,4,25,0.53,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
111,5,87384,2,1,0.24,4,8,0.49,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
112,2,21010,0,8,0.51,0,17,0.34,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
113,4,482824,4,7,0.37,1,6,0.27,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
114,3,999422,3,0,0.12,3,14,0.43,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
115,0,55193,1,0,0.83,1,8,0.35,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
116,2,45409,0,8,0.44,2,5,0.36,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
117,0,21896,3,1,0.54,4,27,0.31,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
118,0,49489,2,2,0.7,3,20,0.3,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
119,1,46064,2,3,0.62,3,12,0.38,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
120,2,42795,0,4,0.1,0,20,0.16,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
121,3,38108,3,2,0.64,2,7,0.73,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
122,5,19741,0,4,0.1,0,9,0.35,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
123,4,48817,1,9,0.38,3,15,0.73,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
124,0,29137,2,2,0.47,2,8,0.31,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
125,2,84699,1,1,0.28,4,13,0.32,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
126,1,45050,3,3,0.37,1,17,0.75,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
127,3,36385,2,1,0.33,3,30,0.32,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
128,5,6585,0,5,0.17,2,5,0.53,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
129,3,48493,2,6,0.35,1,15,0.55,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
130,5,16477,0,1,0.14,1,10,0.74,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
131,1,2584,1,5,0.32,2,5,0.56,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
132,4,20462,1,7,0.4,0,15,0.59,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
133,2,18747,1,5,0.46,4,25,0.16,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
134,0,39862,0,3,0.51,2,8,0.37,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
135,1,40286,2,0,0.65,4,15,0.52,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
136,2,16866,2,5,0.25,2,6,0.52,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
137,5,19579,1,5,0.32,1,16,0.44,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
138,3,1676,0,5,0.13,3,18,0.72,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
