profile_id,age_group,income,income_bracket,education,job_sector,risk_tolerance,investment_goal,investment_horizon,liquidity_needs
1,46-55,51640,50001-100000,Associate,Technology,0.42,Retirement,13,0.23
2,46-55,96926,50001-100000,Bachelor,Healthcare,0.52,Retirement,16,0.35
3,26-35,602945,250001-1000000,Bachelor,Healthcare,0.48,Retirement,33,0.15
4,46-55,73701,50001-100000,Bachelor,Technology,0.3,Retirement,11,0.34
5,46-55,142639,100001-250000,Bachelor,Technology,0.45,Wealth Building,15,0.34
6,46-55,971591,250001-1000000,Master,Manufacturing,0.54,Retirement,16,0.22
7,36-45,579964,250001-1000000,Master,Government,0.54,Retirement,23,0.15
8,46-55,204701,100001-250000,PhD,Technology,0.43,Wealth Building,14,0.51
9,36-45,27082,25001-50000,Bachelor,Education,0.29,Income Generation,13,0.55
10,26-35,21003,0-25000,High School,Finance,0.59,Retirement,29,0.68
11,66+,12252,0-25000,Associate,Government,0.38,Retirement,4,0.29
12,46-55,24923,0-25000,High School,Retail,0.37,Income Generation,27,0.71
13,66+,76149,50001-100000,Bachelor,Education,0.31,Retirement,3,0.43
14,56-65,2326,0-25000,High School,Healthcare,0.12,Home Purchase,10,0.42
15,46-55,848783,250001-1000000,Bachelor,Healthcare,0.41,Wealth Building,21,0.26
16,46-55,94130,50001-100000,Bachelor,Technology,0.7,Retirement,13,0.41
17,18-25,15159,0-25000,Bachelor,Retail,0.73,Retirement,35,0.61
18,56-65,32005,25001-50000,Master,Healthcare,0.14,Income Generation,12,0.27
19,46-55,86423,50001-100000,Bachelor,Healthcare,0.47,Education,14,0.33
20,66+,26864,25001-50000,High School,Healthcare,0.34,Retirement,6,0.47
21,46-55,21540,0-25000,Associate,Construction,0.1,Retirement,12,0.56
22,56-65,49638,25001-50000,High School,Manufacturing,0.33,Home Purchase,7,0.3
23,26-35,8004,0-25000,High School,Entertainment,0.58,Income Generation,30,0.52
24,26-35,93476,50001-100000,Master,Healthcare,0.39,Retirement,28,0.73
25,56-65,33229,25001-50000,Master,Technology,0.32,Retirement,15,0.4
26,18-25,57332,50001-100000,Master,Construction,0.63,Home Purchase,9,0.26
27,56-65,110459,100001-250000,Bachelor,Technology,0.54,Home Purchase,6,0.46
28,46-55,128337,100001-250000,High School,Healthcare,0.18,Wealth Building,17,0.1
29,46-55,542684,250001-1000000,Master,Finance,0.58,Retirement,12,0.11
30,26-35,41759,25001-50000,Master,Healthcare,0.29,Home Purchase,6,0.41
31,46-55,71640,50001-100000,Bachelor,Technology,0.61,Wealth Building,20,0.36
32,56-65,13777,0-25000,High School,Government,0.11,Education,9,0.4
33,36-45,92907,50001-100000,Bachelor,Retail,0.47,Income Generation,15,0.46
34,36-45,90584,50001-100000,Master,Government,0.52,Retirement,15,0.27
35,46-55,119092,100001-250000,PhD,Finance,0.53,Education,15,0.44
36,46-55,235780,100001-250000,Master,Government,0.32,Home Purchase,8,0.45
37,36-45,42953,25001-50000,Associate,Entertainment,0.37,Wealth Building,18,0.59
38,36-45,67997,50001-100000,Bachelor,Healthcare,0.1,Retirement,18,0.36
39,36-45,13594,0-25000,Associate,Retail,0.28,Income Generation,28,0.73
40,26-35,36527,25001-50000,Associate,Entertainment,0.66,Wealth Building,29,0.65
41,18-25,15913,0-25000,High School,Retail,0.47,Home Purchase,3,0.76
42,46-55,55502,50001-100000,High School,Education,0.2,Retirement,15,0.51
43,36-45,210511,100001-250000,Associate,Technology,0.35,Wealth Building,30,0.1
44,26-35,65634,50001-100000,Bachelor,Manufacturing,0.26,Wealth Building,15,0.65
45,18-25,10192,0-25000,High School,Manufacturing,0.41,Retirement,38,0.73
46,66+,18544,0-25000,High School,Retail,0.18,Education,18,0.5
47,46-55,40065,25001-50000,Bachelor,Retail,0.55,Wealth Building,27,0.58
48,36-45,170359,100001-250000,Bachelor,Entertainment,0.37,Wealth Building,28,0.4
49,18-25,10650,0-25000,High School,Government,0.16,Wealth Building,18,0.53
50,56-65,7908,0-25000,High School,Government,0.44,Home Purchase,4,0.41
51,46-55,21756,0-25000,High School,Retail,0.27,Education,9,0.44
52,26-35,70680,50001-100000,Bachelor,Government,0.4,Home Purchase,7,0.32
53,36-45,48201,25001-50000,Associate,Agriculture,0.47,Retirement,16,0.68
54,36-45,39434,25001-50000,PhD,Healthcare,0.24,Home Purchase,5,0.24
55,26-35,33133,25001-50000,Bachelor,Manufacturing,0.58,Home Purchase,10,0.32
56,46-55,43633,25001-50000,Bachelor,Retail,0.17,Retirement,18,0.42
57,26-35,7585,0-25000,High School,Construction,0.31,Retirement,34,0.46
58,56-65,67409,50001-100000,High School,Healthcare,0.14,Home Purchase,10,0.1
59,36-45,67842,50001-100000,Bachelor,Technology,0.24,Education,5,0.6
60,56-65,954939,250001-1000000,Master,Education,0.22,Education,7,0.53
61,46-55,123919,100001-250000,Bachelor,Healthcare,0.3,Education,9,0.42
62,46-55,109620,100001-250000,Bachelor,Healthcare,0.62,Home Purchase,10,0.32
63,36-45,49788,25001-50000,Bachelor,Technology,0.37,Retirement,16,0.72
64,46-55,25449,25001-50000,High School,Agriculture,0.56,Retirement,17,0.61
65,56-65,77230,50001-100000,PhD,Healthcare,0.39,Income Generation,13,0.47
66,26-35,13596,0-25000,Associate,Manufacturing,0.67,Wealth Building,14,0.47
67,36-45,49998,25001-50000,Bachelor,Finance,0.17,Home Purchase,9,0.73
68,46-55,46748,25001-50000,Bachelor,Healthcare,0.57,Retirement,11,0.46
69,56-65,76869,50001-100000,PhD,Technology,0.47,Home Purchase,4,0.55
70,56-65,48551,25001-50000,Bachelor,Education,0.38,Wealth Building,9,0.43
71,36-45,56587,50001-100000,Bachelor,Construction,0.37,Retirement,21,0.48
72,56-65,2587,0-25000,High School,Retail,0.3,Retirement,9,0.47
73,66+,221964,100001-250000,Master,Technology,0.31,Home Purchase,9,0.44
74,56-65,37606,25001-50000,High School,Finance,0.27,Wealth Building,5,0.32
75,66+,98803,50001-100000,Master,Retail,0.41,Wealth Building,8,0.49
76,46-55,97247,50001-100000,Bachelor,Technology,0.13,Retirement,10,0.48
77,26-35,9670,0-25000,High School,Education,0.38,Retirement,29,0.67
78,46-55,130192,100001-250000,Associate,Education,0.19,Wealth Building,22,0.18
79,18-25,17582,0-25000,High School,Government,0.4,Home Purchase,4,0.59
80,36-45,86793,50001-100000,Bachelor,Manufacturing,0.52,Wealth Building,30,0.37
81,66+,569150,250001-1000000,Associate,Technology,0.34,Education,11,0.38
