stocks_allocation,bonds_allocation,real_estate_allocation,commodities_allocation,crypto_allocation,cash_allocation,risk_level
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.7,0.1,0.1,0.05,0.05,0.0,High
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.7,0.1,0.1,0.05,0.05,0.0,High
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.7,0.1,0.1,0.05,0.05,0.0,High
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.05,0.15,0.05,0.0,0.0,0.75,Very Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.7,0.1,0.1,0.05,0.05,0.0,High
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.05,0.15,0.05,0.0,0.0,0.75,Very Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.7,0.1,0.1,0.05,0.05,0.0,High
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.7,0.1,0.1,0.05,0.05,0.0,High
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.4,0.4,0.1,0.05,0.0,0.05,Medium
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.2,0.5,0.1,0.0,0.0,0.2,Low
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
0.6,0.25,0.1,0.05,0.0,0.0,Medium-High
